name,geometry,@id,direction
ကျွန်းကလေး မှတ်တိုင်,POINT (96.1924713 17.0840182),node/4873429318,inbound; west
ကျွဲလမ်း မှတ်တိုင်,POINT (95.9657145 17.1917728),node/4903400171,
ကျွဲလမ်း မှတ်တိုင်,POINT (95.9659102 17.1918586),node/4903400172,
ကျား ဘုရား မှတ်တိုင်,POINT (96.2565912 16.757769),node/4840958113,S; east; forward; north; south; west
ကျား ဘုရား မှတ်တိုင်,POINT (96.256521 16.7577141),node/4840958114,N; east; south; southeast
ကျိုက္ကဆံ ဘုရား မှတ်တိုင်,POINT (96.1917806 16.8387003),node/4840893890,north; outbound
ကျိုက္ကဆံ ဘုရား မှတ်တိုင်,POINT (96.1880877 16.8377376),node/4840893891,east; outbound; south
ကျိုက္ကလို့ မှတ်တိုင်,POINT (96.1270529 16.9511466),node/4841319778,Outbound; east; outbound
ကျိုက္ကလို့ မှတ်တိုင်,POINT (96.1270452 16.9520321),node/4841319779,Inbound; inbound; west
ကျိုက္ကလဲ့ / ဆပ်ပလိုင်း မှတ်တိုင်,POINT (96.1281136 16.9448274),node/4841311331,Outbound; east; outbound
ကျိုက္ကလဲ့ / ဆပ်ပလိုင်း မှတ်တိုင်,POINT (96.1279816 16.9442932),node/4841311332,Inbound; inbound; west
